Episode,Steps,Avg Reward,Avg Loss
1,408,-0.0026030315942083674,0.003806334032418033
2,263,-0.0034892694363809792,0.006104915528097845
3,325,-0.0029562563055510684,0.006244287232581813
4,597,-0.0016495817472246272,0.006322362513089914
5,263,-0.003088923721408629,0.006786405958966512
6,205,-0.004831164387145159,0.007214539813689842
7,420,-0.0025138245851185187,0.00900217368824607
8,362,-0.0026589743167837136,0.006790861293711463
9,683,-0.0012991041255182492,0.0074355568034805515
10,396,-0.002545386887697131,0.007110808718028817
11,586,-0.0015843325737926572,0.006546692173064244
12,196,-0.005867293435285683,0.007517352844119233
13,254,-0.003624793722571119,0.006249943163748244
14,232,-0.004359650158007065,0.007297262750367297
15,239,-0.0039003813780721973,0.00666040255396849
16,197,-0.005258824526670589,0.005197788143428846
17,176,-0.00714243736888826,0.006555311391242536
18,223,-0.004786425054451259,0.00654780838874507
19,118,-0.00951555402144777,0.006735370454715833
20,484,-0.0015820342608743744,0.006715688353557378
21,366,-0.003101199878332548,0.005806487080907637
22,360,-0.002964990863951142,0.006383421930675265
23,353,-0.0033057993488070214,0.006450026149817983
24,402,-0.002039202889069197,0.006276346723269903
25,289,-0.003109189219672916,0.00548655889581109
26,200,-0.005246468060084908,0.005780228028015699
27,358,-0.0034005686415405144,0.006235122705621816
28,379,-0.0030386571669648262,0.006040815414151602
29,204,-0.005323497535676803,0.005299280521213922
30,57,-0.020190510600945056,0.004834635098456617
31,323,-0.003010167597204792,0.005392488105339359
32,250,-0.003949403421951501,0.0066958175224717704
33,444,-0.0021841494627562754,0.005970406670229266
34,238,-0.004054612983116279,0.004990572268055251
35,499,-0.0019306077627713198,0.005597830971972158
36,272,-0.003216176481666199,0.00653409345260811
37,310,-0.002748844355316519,0.00582783121104923
38,308,-0.0028485195423319717,0.006316533798273266
39,323,-0.003381455882610213,0.0059836010150207735
40,247,-0.004385571760211942,0.005518287152211231
41,197,-0.005079396239598559,0.00578918260759154
42,207,-0.004914089719228695,0.0052989186762083
43,172,-0.005614479173439467,0.005005312260669428
44,176,-0.006591880754668141,0.005579251349197214
45,533,-0.0018045545902271106,0.005569892084973211
46,481,-0.001793730521440062,0.004645366699338248
47,314,-0.0031256503929551396,0.00551449365181267
48,312,-0.0035884911975346567,0.004997266358399289
49,354,-0.002365726323306149,0.005344228846143331
50,281,-0.00352224107792427,0.005371172090882959
51,221,-0.004204526071387845,0.004936765286912383
52,297,-0.0038998251918767033,0.004472236397228539
53,356,-0.0022244363048798095,0.0046107097447286045
54,160,-0.005220765769114166,0.00504433591668203
55,334,-0.002976417847450844,0.004614162695884124
56,252,-0.0036541289961058783,0.004532901637821129
57,211,-0.00554855653091535,0.004490567037451712
58,169,-0.006463789179226092,0.0040728157450246605
59,311,-0.0031228831485814977,0.004285787799417332
60,182,-0.005912620606830308,0.004461025500239595
61,307,-0.0027468703318459047,0.003911909496742346
62,141,-0.006602117206705557,0.0041107086778299695
63,381,-0.002197318833934348,0.004521034121253036
64,190,-0.005673355426144978,0.00529226812068373
65,258,-0.0037955988188646283,0.004347130801197495
66,195,-0.005268999182257918,0.004548427385713857
67,180,-0.006619808279103584,0.004328315763106932
68,245,-0.0036262516142117848,0.003791669746670796
69,340,-0.002841175977114741,0.004083355819902328
70,467,-0.0018976786432642024,0.0042243722455558115
71,274,-0.003981546770550363,0.004237196628827717
72,239,-0.005207849509798752,0.004146040808877062
73,523,-0.0019634078083789826,0.003968962850702444
74,524,-0.0014246777655096228,0.0035784271752489784
